"Date of Download: 2025-02-26_19:14:50"
"Search Parameters: Data Level:all  Trait List:  Trial List:10564,11378,10124,10114,10470,11522,18788  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Red spider mite severity|at harvesting|COMP:0000377","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","dry matter content percentage|CO_334:0000092","dry matter content percentage|month 11|mashed raw root|COMP:0000238","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","hydrogen cyanide ug/g wet basis|month 10|COMP:0000322","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","red spider mite severity : visual 1-5|CO_334:0000044","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","thrips severity : visual 1-5|at harvesting|COMP:0000282","time of boiling estimation minute|month 10|boiled root|COMP:0000190","time of boiling estimation minute|month 11|boiled root|COMP:0000191","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","3746946","BRA1243","","plot","4226352","202109DVGN6_momi_rep1_BRA1243_28","1","1","28","4","5","test","","0.82","1.98","","1","0.6","3","35.0","35.7","37.45","","120","24.8397435897436","","15.5","1","20.2","5","2","1","25","12","20","4","350","30","6","","3","2","2","2","40","4950","526","0","20","3","3","1","","60","","3"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","241835","BRA130","","plot","4226510","202109DVGN6_momi_rep1_BRA130_74","1","1","74","10","7","test","","2.89","4.81","","0.3","0.3","0","33.7","39.9","40.54","","300","20.9935897435897","","13.1","1","238.8","5","2","2","17","10","20","3","300","50","6","","3","1","1","1","47","4600","457","0","20","2","3","4","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","54082","BRA1310","","plot","4226381","202109DVGN6_momi_rep1_BRA1310_102","1","1","102","13","6","test","","2.05","4.41","","1","0.8","4","36.0","39.9","41.41","","140","40.0641025641026","","25","1","153.2","5","1","1","51","10","20","4","300","30","6","","3","1","1","2","73","4850","540","0","20","2","2","2","","60","","2"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","272920","BRA136","","plot","4226435","202109DVGN6_momi_rep1_BRA136_46","1","1","46","6","3","test","","-1.54","-1.43","","","","3","28.7","28.1","26.13","","110","33.3333333333333","","20.8","1","81.7","4","1","1","27","10","20","2","270","20","6","","1","1","1","1","47","4950","362","1","20","3","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","273750","BRA1410","","plot","4226383","202109DVGN6_momi_rep1_BRA1410_43","1","1","43","6","6","test","","","","","0.3","0.2","3","33.9","32.8","30.74","","160","12.0192307692308","","7.5","1","99.8","5","2","1","12","12","20","2","450","40","6","","3","2","2","2","27","4425","445","20","20","2","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","272926","BRA144","","plot","4226393","202109DVGN6_momi_rep1_BRA144_113","1","1","113","15","1","test","","3.58","7.28","","1","0.8","5","37.0","40.8","40.78","","170","29.0064102564103","","18.1","1","33.8","5","1","1","26","14","20","1","360","30","6","","3","1","2","3","68","4900","569","8","19","3","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","337509","BRA147","","plot","4226332","202109DVGN6_momi_rep1_BRA147_110","1","1","110","14","3","test","","1.65","5.9","","0.4","0.1","0","33.4","34.4","35.59","","320","40.224358974359","","25.1","1","302.7","5","1","1","50","12","20","3","320","40","6","","3","1","1","3","76","4900","479","1","19","3","3","1","","40","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","241840","BRA162","","plot","4226259","202109DVGN6_momi_rep1_BRA162_73","1","1","73","10","8","test","","2.41","3.67","","0.2","","4","34.0","37.5","37.02","","100","29.8076923076923","","18.6","1","187.3","4","3","1","22","10","20","4","260","40","5","","1","1","1","1","42","4700","474","0","15","3","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","337533","BRA163","","plot","4226493","202109DVGN6_momi_rep1_BRA163_31","1","1","31","4","2","test","","2.35","3.73","","1.3","1.1","4","37.0","39.3","40.34","","110","18.2692307692308","","11.4","1","59.4","4","2","2","31","10","20","3","350","30","6","","3","1","2","1","65","4000","464","0","20","2","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","54002","BRA190","","plot","4226272","202109DVGN6_momi_rep1_BRA190_30","1","1","30","4","3","test","","0.16","0.1","","0.3","0.1","0","30.0","31","35.6","","390","20.6730769230769","","12.9","2","100","4","2","2","17","12","20","3","390","60","6","","3","2","3","2","47","4750","380","0","20","3","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","272821","BRA1A","","plot","4226456","202109DVGN6_momi_rep1_BRA1A_121","1","1","121","16","8","test","","","","","8.3","2.3","3","34.7","42.3","41.38","","140","13.1410256410256","","8.2","4","61.6","4","2","2","7","10","20","3","300","30","6","","3","1","3","3","49","2700","283","0","19","3","3","1","","45","","6"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","162740","BRA222","","plot","4226336","202109DVGN6_momi_rep1_BRA222_14","1","1","14","2","3","test","","1.56","1.63","","1.4","0.9","4","37.9","40.2","39.89","","110","26.9230769230769","","16.8","1","234.4","4","3","3","33","12","20","3","310","30","5","","3","1","1","1","41","4875","588","0","18","3","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","3746947","BRA223","","plot","4226483","202109DVGN6_momi_rep1_BRA223_20","1","1","20","3","4","test","","","","","2.1","0.8","2","38.9","40.7","41.69","","150","28.2051282051282","","17.6","1","200.5","4","3","3","24","10","20","4","320","40","4","","3","1","1","1","41","4975","625","0","13","3","3","1","","60","","4"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","273026","BRA254","","plot","4226461","202109DVGN6_momi_rep1_BRA254_37","1","1","37","5","5","test","","0.28","0.56","","0.7","0.9","3","31.2","31.8","30.43","","170","27.5641025641026","","17.2","1","42","5","2","2","27","12","20","2","300","40","6","","1","1","1","2","57","4725","410","0","20","2","3","1","","60","","2"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","337593","BRA327","","plot","4226448","202109DVGN6_momi_rep1_BRA327_22","1","1","22","3","6","test","","1.2","2.76","","2.4","1","3","34.0","35.8","34.6","","120","36.3782051282051","","22.7","1","84.6","5","1","1","33","8","20","3","300","20","6","","3","2","1","2","54","4750","481","0","20","2","2","1","","50","","3"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","337603","BRA334","","plot","4226344","202109DVGN6_momi_rep1_BRA334_132","1","1","132","17","4","test","","2.27","3.97","","1.7","1.2","3","33.9","38.5","39.81","","95","35.7371794871795","","22.3","1","44.8","3","1","1","42","8","20","3","220","20","5","","3","1","1","2","64","4900","493","0","18","3","3","1","","60","","2"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","241879","BRA335","","plot","4226394","202109DVGN6_momi_rep1_BRA335_32","1","1","32","4","1","test","","0.59","0.96","","4.3","1.1","4","39.4","42.3","39.61","","155","33.6538461538462","","21","1","328.7","4","2","1","33","12","20","3","370","40","6","","3","1","1","1","55","4655","596","0","20","3","3","1","","60","","5"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","141761","BRA512","","plot","4226334","202109DVGN6_momi_rep1_BRA512_29","1","1","29","4","4","test","","-1.33","-1.46","","5.8","2.2","4","33.6","35.3","32.88","","125","30.1282051282051","","18.8","1","390.7","4","2","2","22","10","20","3","320","40","6","","3","1","2","3","45","4875","482","0","20","3","3","1","","60","","5"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","339912","BRA563","","plot","4226521","202109DVGN6_momi_rep1_BRA563_26","1","1","26","4","7","test","","","","","1.1","1.8","3","32.1","36.1","35.86","","160","23.0769230769231","","14.4","1","28.3","5","2","1","42","10","20","2","350","20","5","","3","1","2","2","60","4650","424","0","19","3","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","340001","BRA707","","plot","4226284","202109DVGN6_momi_rep1_BRA707_117","1","1","117","15","5","test","","-0.87","-1.04","","1.1","0","3","27.1","32.1","28.73","","130","44.7115384615385","","27.9","1","186.8","5","2","1","40","12","20","4","340","40","6","","1","1","1","1","79","4775","307","1","19","3","3","1","","60","","2"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","273346","BRA787","","plot","4226276","202109DVGN6_momi_rep1_BRA787_103","1","1","103","13","7","test","","1.47","2.42","","0.7","0.8","4","33.9","36.4","37.36","","100","20.6730769230769","","12.9","2","119.6","5","3","3","19","12","20","2","330","30","6","","1","2","2","3","48","4900","492","2","20","3","3","1","","60","","2"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","3746948","BRA872","","plot","4226281","202109DVGN6_momi_rep1_BRA872_116","1","1","116","15","4","test","","-1.57","-2.19","","","","4","34.3","23.9","","","90","52.0833333333333","","32.5","1","80.7","5","1","1","45","10","20","2","320","30","6","","3","1","1","1","71","4925","506","2","19","3","3","1","","60","","2"," (Operator: lizbethpino, Time: ), p (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","241996","BRA890","","plot","4226408","202109DVGN6_momi_rep1_BRA890_88","1","1","88","11","8","test","","0.93","1.43","","0.8","0.4","3","35.4","36.5","37.18","","140","43.9102564102564","","27.4","1","179.2","5","2","1","33","10","20","1","280","30","6","","3","1","1","1","67","4725","512","0","20","3","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","242000","BRA894","","plot","4226455","202109DVGN6_momi_rep1_BRA894_7","1","1","7","1","7","test","","-0.42","-0.37","","","","3","32.8","31.3","30.86","","270","36.6987179487179","","22.9","1","149.8","5","1","1","44","10","20","1","340","30","6","","1","1","1","1","66","4925","467","0","20","3","3","1","","60","","2"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","54010","BRA899","","plot","4226319","202109DVGN6_momi_rep1_BRA899_126","1","1","126","16","3","test","","2.84","4.28","","2","1.5","0","34.2","38","38.71","","340","42.6282051282051","","26.6","1","35","5","1","1","50","12","20","1","340","40","6","","3","1","1","1","122","5000","510","0","20","2","2","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","337429","BRA93","","plot","4226333","202109DVGN6_momi_rep1_BRA93_50","1","1","50","7","2","test","","1.08","2.27","","1.8","1.4","4","34.7","38.7","38.78","","160","27.8846153846154","","17.4","1","87","5","2","2","40","12","20","2","320","50","6","","3","1","1","2","65","4575","479","0","20","2","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","3746949","BRA974","","plot","4226513","202109DVGN6_momi_rep1_BRA974_115","1","1","115","15","3","test","","1.03","1.74","","0.9","1.3","4","31.4","32.4","30.73","","120","37.8205128205128","","23.6","1","35.7","5","1","1","38","12","20","1","330","30","6","","3","1","1","1","74","4825","422","0","20","2","2","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","139257","CG1141-1","","plot","4226516","202109DVGN6_momi_rep1_CG1141-1_52","1","1","52","7","4","check","","1.62","4.11","","0.7","0.6","4","35.6","37.3","37.92","","70","28.3653846153846","","17.7","1","56.2","5","1","1","22","10","20","2","250","40","6","","3","1","2","1","54","4500","492","0","20","2","2","1","","60","","1"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","139268","CM4919-1","","plot","4226369","202109DVGN6_momi_rep1_CM4919-1_100","1","1","100","13","4","check","","1.34","1.79","","2.5","1.1","4","37.3","39.1","39.18","","135","43.4294871794872","","27.1","1","198.3","5","1","1","60","10","20","1","270","30","6","","3","1","1","1","78","4800","565","0","20","2","3","1","","60","","5"," (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","10114","202109DVGN6_momi","202109DVGN6_momi","RCBD","5.2","4","","no","no","2021-April-21","2022-March-02","127","Momil. Cordoba, Colombia","242097","COL1030","","plot","4226490","202109DVGN6_momi_rep1_COL1030_21","1","1","21","3","5","test","","","","","0.4","0.3","4","28.3","30.5","29.81","","170","9.61538461538462","","6","1","17.9","5","3","2","17","10","20","3","350","20","2","","1","1","2","2","26","4900","348","0","6","2","3","1","","60","","1"," (Operator: lizbethpino, Time: )"
